603.75,1.003790238,1.073160284,3.796220658,535.8871099,70.83195496
604.75,1.003821347,1.073781192,3.827400735,536.9779295,70.39946174
605.75,1.003853755,1.074428418,3.859884272,538.1143128,69.95631528
606.75,1.003887509,1.075102887,3.893715429,539.2978003,69.50263965
607.75,1.003922653,1.075805575,3.928940695,540.5300135,69.0385661
608.75,1.003959237,1.076537511,3.965609024,541.81266,68.56423313
609.75,1.003997312,1.077299781,4.003771984,543.1475381,68.07978648
610.75,1.004036933,1.078093533,4.04348391,544.5365429,67.58537923
611.75,1.004078156,1.078919978,4.084802073,545.9816712,67.08117177
612.75,1.004121042,1.079780395,4.127786861,547.4850288,66.56733186
613.75,1.004165655,1.080676138,4.172501975,549.0488365,66.04403465
614.75,1.00421206,1.081608637,4.219014629,550.6754377,65.51146267
615.75,1.004260331,1.082579406,4.267395783,552.3673059,64.96980587
616.75,1.00431054,1.083590048,4.317720377,554.1270533,64.41926162
617.75,1.004362767,1.08464226,4.370067592,555.9574396,63.86003468
618.75,1.004417096,1.08573784,4.424521127,557.8613818,63.29233725
619.75,1.004473616,1.086878695,4.481169502,559.8419646,62.71638889
620.75,1.004532418,1.088066849,4.54010638,561.9024516,62.13241657
621.75,1.004593604,1.08930445,4.601430916,564.0462976,61.54065459
622.75,1.004657276,1.090593779,4.665248137,566.2771614,60.94134457
623.75,1.004723548,1.091937261,4.731669349,568.5989206,60.33473542
624.75,1.004792536,1.093337477,4.80081258,571.0156862,59.7210833
625.75,1.004864365,1.094797173,4.872803059,573.5318197,59.10065154
626.75,1.004939169,1.096319272,4.947773734,576.1519513,58.47371061
627.75,1.005017088,1.097906893,5.025865836,578.8809987,57.84053802
628.75,1.005098272,1.099563363,5.107229489,581.7241894,57.20141829
629.75,1.005182882,1.101292231,5.19202438,584.6870827,56.55664284
630.75,1.005271086,1.103097294,5.280420473,587.7755955,55.9065099
631.75,1.005363066,1.104982607,5.372598805,590.9960296,55.25132441
632.75,1.005459015,1.106952516,5.468752341,594.355101,54.59139793
633.75,1.005559138,1.109011672,5.56908691,597.8599732,53.92704849
634.75,1.005663655,1.111165066,5.673822228,601.5182918,53.25860051
635.75,1.005772802,1.113418053,5.783193018,605.3382241,52.58638463
636.75,1.005886828,1.115776387,5.897450236,609.3285012,51.91073756
637.75,1.006006002,1.118246258,6.016862406,613.4984646,51.23200198
638.75,1.006130613,1.120834327,6.141717099,617.8581173,50.55052629
639.75,1.006260969,1.123547778,6.272322547,622.4181799,49.86666453
640.75,1.0063974,1.126394359,6.40900942,627.1901524,49.18077611
641.75,1.006540263,1.129382443,6.552132783,632.1863819,48.49322566
642.75,1.006689939,1.132521084,6.702074253,637.4201374,47.80438284
643.75,1.00684684,1.135820091,6.859244382,642.9056926,47.11462206
644.75,1.00701141,1.139290097,7.024085285,648.6584173,46.4243223
645.75,1.007184125,1.142942649,7.197073557,654.6948779,45.73386687
646.75,1.007365502,1.146790304,7.378723496,661.03295,45.04364311
647.75,1.007556097,1.150846735,7.569590685,667.6919422,44.35404217
648.75,1.007756515,1.15512685,7.770275975,674.6927341,43.66545871
649.75,1.007967408,1.159646938,7.981429915,682.0579306,42.97829061
650.75,1.008189484,1.164424815,8.20375769,689.8120325,42.29293867
651.75,1.008423513,1.169480006,8.438024639,697.9816283,41.60980629
652.75,1.008670331,1.174833944,8.685062418,706.5956079,40.92929911
653.75,1.008930848,1.180510202,8.945775919,715.6854023,40.25182472
654.75,1.009206056,1.186534752,9.221151017,725.285253,39.57779223
655.75,1.009497039,1.192936266,9.512263293,735.4325136,38.90761196
656.75,1.009804981,1.199746465,9.820287855,746.1679913,38.24169498
657.75,1.010131179,1.207000518,10.14651042,757.5363308,37.58045278
658.75,1.010477054,1.214737498,10.49233983,769.5864488,36.92429678
659.75,1.010844169,1.223000928,10.85932228,782.3720269,36.27363792
660.75,1.011234242,1.231839397,11.2491574,795.9520702,35.62888621
661.75,1.011649166,1.241307297,11.66371661,810.3915439,34.99045023
662.75,1.012091032,1.251465675,12.10506407,825.7620984,34.3587367
663.75,1.012562153,1.262383248,12.57548049,842.1428988,33.7341499
664.75,1.013065091,1.274137591,13.07749062,859.6215748,33.1170912
665.75,1.013602692,1.286816563,13.61389465,878.2953123,32.5079585
666.75,1.014178123,1.300519992,14.18780445,898.2721099,31.90714565
667.75,1.014794915,1.31536171,14.8026854,919.6722301,31.31504191
668.75,1.015457015,1.331471996,15.46240482,942.6298798,30.73203132
669.75,1.016168845,1.349000537,16.17128819,967.2951613,30.15849211
670.75,1.01693537,1.368120038,16.93418466,993.8363445,29.59479603
671.75,1.017762181,1.389030639,17.75654357,1022.442522,29.04130772
672.75,1.018655588,1.411965371,18.64450411,1053.326722,28.49838401
673.75,1.019622737,1.437196913,19.60500079,1086.729566,27.96637325
674.75,1.020671738,1.465046055,20.64588795,1122.923589,27.44561455
675.75,1.02181183,1.495892343,21.77608711,1162.218356,26.93643707
676.75,1.023053564,1.530187601,23.00576239,1204.966547,26.43915926
677.75,1.02440904,1.56847324,24.34652968,1251.571217,25.95408803
678.75,1.025892174,1.611402634,25.81170767,1302.494507,25.48151799
679.75,1.027519038,1.659770307,27.41661986,1358.268125,25.02173059
680.75,1.029308261,1.714550441,29.17896011,1419.506035,24.57499328
681.75,1.031281532,1.776948231,31.1192369,1486.919871,24.1415586
682.75,1.033464213,1.848469243,33.26131607,1561.337779,23.72166333
683.75,1.035886098,1.931014328,35.63308757,1643.72755,23.31552749
684.75,1.038582366,2.027011392,38.26728898,1735.225211,22.92335344
