T_bainite,ts_bainite,tf_bainite,tm_bainite,tau_bainite,xsi_eq_bainite
382.3038634896344,2.9949375331159223,55.8979521424272,151.71795037440106,5673.58756610471,18.948926659956534
383.3038634896344,2.926517929747407,54.62095865845356,148.24869310177039,5553.174347510384,18.98036461193788
384.3038634896344,2.8600588812177405,53.38055725673299,144.87885790805106,5436.211554039177,19.012341824786592
385.3038634896344,2.795497403303181,52.17557239050181,141.6052508907526,5322.5883383209175,19.044861937930214
386.3038634896344,2.7327727549089675,51.00487037908373,138.42479189306567,5212.197800719229,19.07792844147429
387.3038634896344,2.6718263515654592,49.8673577933691,135.3345101173509,5104.936837091415,19.111544669838565
388.3038634896344,2.6126016825133083,48.76197990828047,132.33153992061187,5000.70599286476,19.14571379529888
389.3038634896344,2.5550442312191435,47.6877192192657,129.4131167837091,4899.409323150277,19.18043882146624
390.3038634896344,2.499101399170841,46.643594020001714,126.576573447144,4800.9542586282605,19.215722576637642
391.3038634896344,2.444722432808176,45.628657038617526,123.81933620575641,4705.251476951888,19.251567707066798
392.3038634896344,2.391858353451784,44.64199412987808,121.13892135535195,4612.21477942759,19.287976670163257
393.3038634896344,2.340461890099379,43.682723020883124,118.53293178497412,4521.760972741592,19.324951727566972
394.3038634896344,2.290487414964419,42.74999210795132,115.999053707858,4433.809755512938,19.362494938198136
395.3038634896344,2.2418908816381853,41.84297930246837,113.5350535259528,4348.28360946353,19.400608151138968
396.3038634896344,2.19462976576158,40.96089092357664,111.13877482113428,4265.107695005069,19.439292998527417
397.3038634896344,2.148663008098328,40.10296063568522,108.80813546866709,4184.209751052291,19.478550888294944
398.3038634896344,2.1039509599062445,39.2684484288711,106.5411248668639,4105.519998880607,19.5183829968845
399.3038634896344,2.060455330507688,38.45663964032661,104.33580127854123,4028.9710498541604,19.558790261847523
400.3038634896344,2.018139136965324,37.666844015100395,102.19028927897183,3954.4978168590505,19.599773374416433
401.3038634896344,1.9769666557730365,36.898394804449566,100.10277730631829,3882.037429283067,19.641332771955817
402.3038634896344,1.9369033764763146,36.15064790020381,98.07151530952493,3811.529151391155,19.68346863042068
403.3038634896344,1.897915957140214,35.4229810036129,96.09481249038065,3742.9143039524624,19.726180856661312
404.3038634896344,1.8599721815865697,34.714792827215796,94.17103513484834,3676.1361889811405,19.769469080756416
405.3038634896344,1.8230409183258887,34.02550232833946,92.29860453061491,3611.1400174596415,19.813332648236187
406.3038634896344,1.7870920811124476,33.35454797289346,90.47599496686145,3547.87283991874,19.85777061227159
407.3038634896344,1.7520965910545836,32.70138702819086,88.70173181293161,3486.28347975457,19.90278172580816
408.3038634896344,1.718026340215005,32.06549488357913,86.97438967248766,3426.322469167983,19.948364433671127
409.3038634896344,1.6848541566389765,31.44636439772105,85.29259061011956,3367.941987616851,19.99451686462129
410.3038634896344,1.6525537707509081,30.843505271415765,83.65500244745265,3311.0958026766607,20.04123682334987
411.3038634896344,1.6210997830626757,30.256443444902118,82.06033712552245,3255.739213209654,20.088521782499193
412.3038634896344,1.5904676331393102,29.684720518629764,80.5073491311678,3201.8289947468306,20.13636887459739
413.3038634896344,1.5606335697702085,29.127893196530273,78.99483398439286,3149.3233469915895,20.184774884008664
414.3038634896344,1.5315746222964,28.585532750865053,77.52162678450684,3098.1818433579265,20.233736238827873
415.3038634896344,1.5032685730462794,28.057224507761813,76.08660081221213,3048.3653824594558,20.283249002828697
416.3038634896344,1.4756939308347683,27.542567352599054,74.68866618594363,2999.8361414699793,20.333308867322394
417.3038634896344,1.4488299054823168,27.041173254425,73.32676856970569,2952.5575312789015,20.38391114306963
418.3038634896344,1.4226563833124946,26.55266680864103,71.99988793061053,2906.4941533688725,20.435050752176174
419.3038634896344,1.397153903588536,26.076684797209918,70.7070373439615,2861.611758345936,20.486722220017498
420.3038634896344,1.3723036358508658,25.612875765680098,69.44726184417632,2817.8772060553188,20.538919667136444
421.3038634896344,1.3480873581194708,25.16089961635156,68.2196373194368,2775.258427219293,20.591636801197716
422.3038634896344,1.3244874359264192,24.720427216935697,67.023269448445,2733.7243865360247,20.644866908968396
423.3038634896344,1.3014868021453203,24.291140024089394,65.85729267764776,2693.245047180983,20.69860284831663
424.3038634896344,1.2790689375860664,23.872729721232474,64.72086923725587,2653.7913366551834,20.75283704025421
425.3038634896344,1.2572178523245057,23.464897870081963,63.613188194488174,2615.3351139268543,20.807561461040603
426.3038634896344,1.2359180677379302,23.06735557535981,62.53346454266731,2577.849137815283,20.862767634323443
427.3038634896344,1.2151545992186878,22.679823162157227,61.48093832466472,2541.307036568107,20.918446623353105
428.3038634896344,1.194912939539263,22.302029865458106,60.4548737894124,2505.6832785851407,20.97458902325695
429.3038634896344,1.1751790428433855,21.933713531346754,59.45455858009728,2470.9531442439647,21.031184953412584
430.3038634896344,1.155939309238881,21.574620329446567,58.47930295297014,2437.0926987845296,21.088224049872466
431.3038634896344,1.1371805699688307,21.224504476152422,57.528439025372954,2404.0787662115445,21.14569545791937
432.3038634896344,1.1188900731389062,20.883127968243546,56.60132005209053,2371.8889041756884,21.203587824681126
433.3038634896344,1.1010554699793618,20.550260326475335,55.69731972866306,2340.501379795775,21.261889291910613
434.3038634896344,1.0836648016214032,20.225678348771574,54.81583152094893,2309.895146386186,21.320587488824867
435.3038634896344,1.0667064863682922,19.90916587265046,53.95626801964452,2280.049821054996,21.379669525120637
436.3038634896344,1.0501693074424978,19.600513546535637,53.11806031899329,2250.9456631399053,21.43912198411053
437.3038634896344,1.0340424011910516,19.29951860961925,52.30065741876354,2222.563553450576,21.498930915993054
