t,T,ferrite,pearlite,bainite,martensite,austenite,Hv
4750.0,802.9575,0.0,0.0,0.0,0.0,1.0,0.0
4800.0,802.536,0.0,0.0,0.0,0.0,1.0,0.0
4850.0,802.1145,0.0,0.0,0.0,0.0,1.0,0.0
4900.0,801.693,0.0,0.0,0.0,0.0,1.0,0.0
4950.0,801.2715,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,800.85,0.0,0.0,0.0,0.0,1.0,0.0
5050.0,800.4285,0.0,0.0,0.0,0.0,1.0,0.0
5100.0,800.007,0.0,0.0,0.0,0.0,1.0,0.0
5150.0,799.5855,0.0,0.0,0.0,0.0,1.0,0.0
5200.0,799.164,0.0,0.0,0.0,0.0,1.0,0.0
5250.0,798.7425,0.0,0.0,0.0,0.0,1.0,0.0
5300.0,798.321,0.0,0.0,0.0,0.0,1.0,0.0
5350.0,797.8995,0.0,0.0,0.0,0.0,1.0,0.0
5400.0,797.478,0.0,0.0,0.0,0.0,1.0,0.0
5450.0,797.0565,0.0,0.0,0.0,0.0,1.0,0.0
5500.0,796.635,0.0,0.0,0.0,0.0,1.0,0.0
5550.0,796.2135,0.0,0.0,0.0,0.0,1.0,0.0
5600.0,795.792,0.0,0.0,0.0,0.0,1.0,0.0
5650.0,795.3705,0.0,0.0,0.0,0.0,1.0,0.0
5700.0,794.949,0.0,0.0,0.0,0.0,1.0,0.0
5750.0,794.5275,0.0,0.0,0.0,0.0,1.0,0.0
5800.0,794.106,0.0,0.0,0.0,0.0,1.0,0.0
5850.0,793.6845,0.0,0.0,0.0,0.0,1.0,0.0
5900.0,793.263,0.0,0.0,0.0,0.0,1.0,0.0
5950.0,792.8415,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,792.42,0.0,0.0,0.0,0.0,1.0,0.0
6050.0,791.9985,0.0,0.0,0.0,0.0,1.0,0.0
6100.0,791.577,0.0,0.0,0.0,0.0,1.0,0.0
6150.0,791.1555,0.0,0.0,0.0,0.0,1.0,0.0
6200.0,790.734,0.0,0.0,0.0,0.0,1.0,0.0
6250.0,790.3125,0.0,0.0,0.0,0.0,1.0,0.0
6300.0,789.891,0.0,0.0,0.0,0.0,1.0,0.0
6350.0,789.4695,0.0,0.0,0.0,0.0,1.0,0.0
6400.0,789.048,0.0,0.0,0.0,0.0,1.0,0.0
6450.0,788.6265,0.0,0.0,0.0,0.0,1.0,0.0
6500.0,788.205,0.0,0.0,0.0,0.0,1.0,0.0
6550.0,787.7835,0.0,0.0,0.0,0.0,1.0,0.0
6600.0,787.362,0.0,0.0,0.0,0.0,1.0,0.0
6650.0,786.9405,0.0,0.0,0.0,0.0,1.0,0.0
6700.0,786.519,0.0,0.0,0.0,0.0,1.0,0.0
6750.0,786.0975,0.0,0.0,0.0,0.0,1.0,0.0
6800.0,785.676,0.0,0.0,0.0,0.0,1.0,0.0
6850.0,785.2545,0.0,0.0,0.0,0.0,1.0,0.0
6900.0,784.833,0.0,0.0,0.0,0.0,1.0,0.0
6950.0,784.4115,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,783.99,0.0,0.0,0.0,0.0,1.0,0.0
7050.0,783.5685,0.0,0.0,0.0,0.0,1.0,0.0
7100.0,783.147,0.0,0.0,0.0,0.0,1.0,0.0
7150.0,782.7255,0.0,0.0,0.0,0.0,1.0,0.0
7200.0,782.304,0.0,0.0,0.0,0.0,1.0,0.0
7250.0,781.8825,0.0,0.0,0.0,0.0,1.0,0.0
7300.0,781.461,0.0,0.0,0.0,0.0,1.0,0.0
7350.0,781.0395,0.0,0.0,0.0,0.0,1.0,0.0
7400.0,780.618,0.0,0.0,0.0,0.0,1.0,0.0
7450.0,780.1965,0.0,0.0,0.0,0.0,1.0,0.0
7500.0,779.775,0.0,0.0,0.0,0.0,1.0,0.0
7550.0,779.3535,0.0,0.0,0.0,0.0,1.0,0.0
7600.0,778.932,0.0,0.0,0.0,0.0,1.0,0.0
7650.0,778.5105,0.0,0.0,0.0,0.0,1.0,0.0
7700.0,778.089,0.0,0.0,0.0,0.0,1.0,0.0
7750.0,777.6675,0.0,0.0,0.0,0.0,1.0,0.0
7800.0,777.246,0.0,0.0,0.0,0.0,1.0,0.0
7850.0,776.8245,0.0,0.0,0.0,0.0,1.0,0.0
7900.0,776.403,0.0,0.0,0.0,0.0,1.0,0.0
7950.0,775.9815,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,775.56,0.0,0.0,0.0,0.0,1.0,0.0
8050.0,775.1385,0.0,0.0,0.0,0.0,1.0,0.0
8100.0,774.717,0.0,0.0,0.0,0.0,1.0,0.0
8150.0,774.2955,0.0,0.0,0.0,0.0,1.0,0.0
8200.0,773.874,0.0,0.0,0.0,0.0,1.0,0.0
8250.0,773.4525,0.0,0.0,0.0,0.0,1.0,0.0
8300.0,773.031,0.0,0.0,0.0,0.0,1.0,0.0
8350.0,772.6095,0.0,0.0,0.0,0.0,1.0,0.0
8400.0,772.188,0.0,0.0,0.0,0.0,1.0,0.0
8450.0,771.7665,0.0,0.0,0.0,0.0,1.0,0.0
8500.0,771.345,0.0,0.0,0.0,0.0,1.0,0.0
8550.0,770.9235,0.0,0.0,0.0,0.0,1.0,0.0
8600.0,770.502,0.0,0.0,0.0,0.0,1.0,0.0
8650.0,770.0805,0.0,0.0,0.0,0.0,1.0,0.0
8700.0,769.659,0.0,0.0,0.0,0.0,1.0,0.0
8750.0,769.2375,0.0,0.0,0.0,0.0,1.0,0.0
8800.0,768.816,0.001070039821,0.0,0.0,0.0,0.998929960179,0.156195104587
8850.0,768.3945,0.001392733334,0.0,0.0,0.0,0.998607266666,0.20329909643
8900.0,767.973,0.001793517785,0.0,0.0,0.0,0.998206482215,0.261802123932
8950.0,767.5515,0.002287693713,0.0,0.0,0.0,0.997712306287,0.333937626969
9000.0,767.13,0.002892445042,0.0,0.0,0.0,0.997107554958,0.422213965144
9050.0,766.7085,0.003626902414,0.0,0.0,0.0,0.996373097586,0.529423663073
9100.0,766.287,0.004513007061,0.0,0.0,0.0,0.995486992939,0.65876951103
9150.0,765.8655,0.005575571537,0.0,0.0,0.0,0.994424428463,0.813873429635
9200.0,765.444,0.006842450199,0.0,0.0,0.0,0.993157549801,0.998801355848
9250.0,765.0225,0.008344924399,0.0,0.0,0.0,0.991655075601,1.218119469145
9300.0,764.601,0.010118000888,0.0,0.0,0.0,0.989881999112,1.476937750676
9350.0,764.1795,0.012200767314,0.0,0.0,0.0,0.987799232686,1.780961874961
9400.0,763.758,0.014636774808,0.0,0.0,0.0,0.985363225192,2.136549057514
9450.0,763.3365,0.017474449303,0.0,0.0,0.0,0.982525550697,2.550768094708
9500.0,762.915,0.020767534838,0.0,0.0,0.0,0.979232465162,3.031464073705
9550.0,762.4935,0.024575567492,0.0,0.0,0.0,0.975424432508,3.58732755363
9600.0,762.072,0.02896437778,0.0,0.0,0.0,0.97103562222,4.227967900117
9650.0,761.6505,0.034006616748,0.0,0.0,0.0,0.965993383252,4.963990080975
9700.0,761.229,0.039782297962,0.0,0.0,0.0,0.960217702038,5.807073780539
9750.0,760.8075,0.046379342188,0.0,0.0,0.0,0.953620657812,6.770052907332
9800.0,760.386,0.053894105356,0.0,0.0,0.0,0.946105894644,7.866992661785
