T_pearlite,ts_pearlite,tf_pearlite,tm_perlite,tau_perlite,xsi_eq_perlite
603.75,0.07566146407471573,1.4121566313519283,3.79622065773056,535.8871099164375,70.83195495785257
604.75,0.0762812751427602,1.4237248757763288,3.8274007354998543,536.9779295346342,70.39946173815297
605.75,0.07692697579737635,1.4357763272309827,3.859884272421341,538.1143128260137,69.95631527852767
606.75,0.07759944135464952,1.448327322743326,3.8937154289976896,539.2978002792946,69.50263964732392
607.75,0.0782995932239725,1.4613950596330263,3.928940694602576,540.5300135038572,69.0385661007789
608.75,0.0790284016076082,1.4749976458970153,3.9656090240986686,541.8126599807657,68.56423312626065
609.75,0.07978688839116616,1.4891541541577655,4.00377198410941,543.1475381497833,68.07978648164816
610.75,0.08057613024033375,1.5038846794611336,4.043483909761656,544.53654285938,67.58537923000358
611.75,0.08139726192059756,1.519210401236126,4.08480207270515,545.9816712091861,67.08117177011574
612.75,0.08225147985824047,1.5351536497578702,4.127786861378575,547.4850288170719,66.56733186202004
613.75,0.08314004596258501,1.5517379774865219,4.172501974500461,549.048836546001,66.04403464791686
614.75,0.08406429173133696,1.5689882356900002,4.219014628931097,550.6754377291178,65.51146266770265
615.75,0.08502562266295172,1.586930656797037,4.267395783065493,552.3673059351717,64.96980586979697
616.75,0.08602552300223265,1.6055929429697213,4.317720377145786,554.1270533204041,64.41926161615038
617.75,0.08706556084790981,1.6250043614320928,4.3700675919155225,555.9574396174916,63.860034681834144
618.75,0.0881473936537475,1.6451958471436188,4.424521127222219,557.8613818170717,63.292337248931425
619.75,0.08927277415785305,1.666200113464681,4.481169502339699,559.8419646028674,62.71638889436237
620.75,0.09044355677830623,1.6880517715255385,4.540106379916033,561.9024516075018,62.13241657186404
621.75,0.091661704517078,1.710787459082076,4.601430915724468,564.0462975628616,61.540654587252796
622.75,0.0929292964184808,1.734445979721411,4.665248136512784,566.2771614263935,60.94134456750055
623.75,0.09424853563314924,1.7590684533692094,4.73166934857285,568.5989205730882,60.33473542294999
624.75,0.09562175814386455,1.7846984791497496,4.800812579875207,571.0156861522571,59.72108330265095
625.75,0.0970514422154617,1.8113823117603693,4.872803058927114,573.531819718639,59.10065154261045
626.75,0.09854021863767698,1.8391690526454731,4.947773733862425,576.1519512590211,58.47371060658337
627.75,0.10009088183721082,1.868110857393696,5.025865835604716,578.8809987486119,57.84053801955706
628.75,0.10170640194358192,1.8982631609367713,5.107229489423617,581.724189386012,57.201418293369706
629.75,0.10338993790265708,1.9296849223023684,5.192024379656291,584.6870826720144,56.556642844192055
630.75,0.10514485174220965,1.9624388908685624,5.280420472841303,587.7755955158859,55.90650990220208
631.75,0.10697472410561333,1.9965918962869662,5.372598805228554,590.9960295734681,55.251324412436986
632.75,0.10888337118302763,2.0322151644888535,5.46875234115994,594.3551010447576,54.591397927379134
633.75,0.11087486318436716,2.0693846624673595,5.56908690971313,597.8599731849035,53.92704849031211
634.75,0.11295354451520585,2.1081814748435064,5.673822227714546,601.5182918122431,53.25860050997284
635.75,0.11512405583583837,2.1486922155797528,5.783193018345094,605.3382241305447,52.58638462549337
636.75,0.1173913582053089,2.191009478607679,5.897450235520777,609.3285012206356,51.910737562004584
637.75,0.11976075953670855,2.2352323315935263,6.016862405563765,613.4984645996809,51.23200197635876
638.75,0.12223794361784503,2.2814668575842187,6.141717099061439,617.8581172953225,50.55052629273452
639.75,0.124829001983026,2.3298267498669927,6.27232254740568,622.4181799375558,49.86666452796785
640.75,0.12754046895773777,2.380433966048401,6.409009420350357,627.190152434659,49.18077610629898
641.75,0.13037936023913016,2.4334194481261275,6.552132782987418,632.1863818718663,48.49322566341664
642.75,0.1333532154222298,2.4889239162044534,6.702074253005012,637.4201373542202,47.80438283908927
643.75,0.13647014493564286,2.5470987445090736,6.859244381664375,642.9056926097834,47.114622058877075
644.75,0.13973888191225536,2.6081069295094372,7.024085285269139,648.6584172780665,46.4243223038646
645.75,0.1431688395913921,2.6721241612810336,7.197073557319363,654.6948779333942,45.73386686871616
646.75,0.1467701749305934,2.7393400107649017,7.37872349580403,661.0329500367217,45.04364310748432
647.75,0.15055385919938752,2.8099592473401183,7.569590684808611,667.6919421752215,44.35404216701291
648.75,0.15453175643632117,2.8842033031572925,7.77027597516464,674.6927341405994,43.665458707590794
649.75,0.15871671077662067,2.962311903034808,7.981429915242283,682.0579306190351,42.97829061064816
650.75,0.16312264380415023,3.044544881450006,8.203757690447619,689.8120325231104,42.292938673057755
651.75,0.16776466325149061,3.1311842113333532,8.438024638535625,697.9816282955542,41.60980628804471
652.75,0.17265918457022056,3.2225362730739566,8.685062418025195,706.5956078635506,40.92929911204859
653.75,0.1778240671250574,3.3189343964669202,8.945775918653778,715.6854023299094,40.25182471741246
654.75,0.18327876703660667,3.420741713392779,9.22115101656077,725.2852529645021,39.57779223070532
655.75,0.18904450901555409,3.52835436495599,9.512263293075314,735.4325136191724,38.90761195621718
656.75,0.19514447990533243,3.6422051137935725,9.82028785493824,746.1679913478828,38.241694984296146
657.75,0.20160404709152244,3.7627674205001096,10.146510416131335,757.5363307903965,37.58045278432167
658.75,0.20845100545794856,3.89056005285244,10.492339827959967,769.5864487959344,36.924296782003616
659.75,0.21571585718787914,4.026152308060179,10.859322275417636,782.3720268516828,36.2736379206121
660.75,0.2234321294439297,4.1701699419898945,11.24915739514974,795.9520701748908,35.628886205734204
661.75,0.23163673583670466,4.323301915668704,11.663716614657638,810.391543869768,34.99045023353222
662.75,0.24037038864016239,4.486308088932137,12.105064065715744,825.7620983946957,34.358736701802634
